ISBN13, Checksum
899540410424, 4
557281859967, 0
188810089792, 3
260581895915, 1
505396299005, 1
117954469795, 9
591824607611, 4
364075653992, 7
190746105847, 4
624896888370, 7
479578433530, 6
500686630303, 8
329395152561, 7
369359670198, 6
768684256908, 5
882950547631, 6
270965848327, 9
549141442676, 3
591240815348, 4
162602559098, 3
548371407021, 0
295997658051, 2
714282312137, 1
439778775097, 3
776346633104, 2
848002627526, 2
344862948950, 4
187286877176, 2
888874949974, 1
246514719642, 5
825218825665, 2
778817281435, 1
802225572471, 7
863122554580, 3
975641485724, 2
564831651614, 0
335049307517, 5
176514006757, 1
105190410976, 3
790129925537, 5
497475163855, 2
122244253962, 0
809083392257, 2
215482997429, 0
185212806418, 6
205160136390, 0
778330460188, 5
178870168442, 0
748097926443, 7
236147933598, 6
600570095087, 1
951754546217, 6
694942277985, 6
502411256884, 0
593472765004, 8
482841829701, 2
372117822924, 2
974793618723, 8
227870671300, 7
531972684205, 0
128432297162, 3
653874702302, 9
895236801879, 6
407945197732, 8
172231262839, 8
637146510713, 4
935041144838, 2
387744846313, 4
819955389615, 3
708722115101, 1
667956922449, 9
219440058791, 4
448000409670, 8
919486466818, 4
834551198539, 5
414732127623, 6
127610950651, 7
392948461188, 5
298421113576, 9
752148090001, 5
711750875684, 1
671144883863, 9
143977025037, 4
690759180917, 0
712744800795, 8
724698200854, 9
159118540333, 9
523005179808, 2
606134222547, 0
346008776925, 7
216054754137, 9
208672559123, 6
662876447346, 1
569214464661, 6
130054077423, 2
542596219246, 7
225914103106, 2
557226476865, 1
680234558378, 1
430979202146, 7
